"part","term","statistic","FE only","Fully adj.","FE only ","Fully adj. ","FE only  ","Fully adj.  ","FE only   ","Fully adj.   ","FE only    ","Fully adj.    ","FE only     ","Fully adj.     "
"estimates","Asian, Native Hawaiian, or Pacific Islander","estimate","","0.0010","","-0.0078","","0.0157","","-0.1668","","-0.0860","","-0.0381"
"estimates","Asian, Native Hawaiian, or Pacific Islander","(({std.error}))","","((0.0105))","","((0.0091))","","((0.0043))","","((0.0128))","","((0.0099))","","((0.0048))"
"estimates","Asian, Native Hawaiian, or Pacific Islander","P={p.value}","","P=0.923","","P=0.396","","P=0.001","","P=0.000","","P=0.000","","P=0.000"
"estimates","Other or mixed race","estimate","","0.0649","","0.0522","","0.0390","","-0.0271","","0.0387","","0.0785"
"estimates","Other or mixed race","(({std.error}))","","((0.0076))","","((0.0061))","","((0.0058))","","((0.0058))","","((0.0061))","","((0.0108))"
"estimates","Other or mixed race","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.000"
"estimates","10th grade","estimate","","-0.0162","","-0.0146","","-0.0231","","0.0219","","0.0003","","-0.0610"
"estimates","10th grade","(({std.error}))","","((0.0039))","","((0.0021))","","((0.0016))","","((0.0032))","","((0.0024))","","((0.0030))"
"estimates","10th grade","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.911","","P=0.000"
"estimates","11th grade","estimate","","-0.0389","","-0.0348","","-0.0509","","0.0472","","-0.0011","","-0.1172"
"estimates","11th grade","(({std.error}))","","((0.0064))","","((0.0038))","","((0.0022))","","((0.0046))","","((0.0040))","","((0.0050))"
"estimates","11th grade","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.778","","P=0.000"
"estimates","12th grade","estimate","","-0.0696","","-0.0549","","-0.0739","","0.0946","","0.0084","","-0.1578"
"estimates","12th grade","(({std.error}))","","((0.0075))","","((0.0044))","","((0.0032))","","((0.0073))","","((0.0064))","","((0.0070))"
"estimates","12th grade","P={p.value}","","P=0.000","","P=0.000","","P=0.000","","P=0.000","","P=0.194","","P=0.000"
"estimates","Medicare income eligibility limit, age 1-5","estimate","","-0.0084","","-0.0245","","-0.0141","","0.0259","","0.0158","","0.0067"
"estimates","Medicare income eligibility limit, age 1-5","(({std.error}))","","((0.0141))","","((0.0090))","","((0.0111))","","((0.0215))","","((0.0106))","","((0.0112))"
"estimates","Medicare income eligibility limit, age 1-5","P={p.value}","","P=0.554","","P=0.009","","P=0.210","","P=0.235","","P=0.144","","P=0.551"
"estimates","Medicare income eligibility limit, age 6-18","estimate","","0.0022","","0.0199","","0.0129","","-0.0252","","-0.0084","","-0.0110"
"estimates","Medicare income eligibility limit, age 6-18","(({std.error}))","","((0.0121))","","((0.0078))","","((0.0101))","","((0.0182))","","((0.0088))","","((0.0105))"
"estimates","Medicare income eligibility limit, age 6-18","P={p.value}","","P=0.855","","P=0.015","","P=0.210","","P=0.173","","P=0.343","","P=0.298"
"estimates","State has EITC","estimate","","0.0093","","0.0084","","-0.0078","","0.0109","","0.0138","","-0.0124"
"estimates","State has EITC","(({std.error}))","","((0.0102))","","((0.0099))","","((0.0091))","","((0.0070))","","((0.0055))","","((0.0122))"
"estimates","State has EITC","P={p.value}","","P=0.366","","P=0.404","","P=0.396","","P=0.125","","P=0.015","","P=0.312"
"estimates","State EITC as percent of federal","estimate","","0.0342","","0.0155","","0.0220","","-0.0007","","-0.0407","","0.0513"
"estimates","State EITC as percent of federal","(({std.error}))","","((0.0129))","","((0.0079))","","((0.0085))","","((0.0159))","","((0.0096))","","((0.0134))"
"estimates","State EITC as percent of federal","P={p.value}","","P=0.011","","P=0.056","","P=0.013","","P=0.966","","P=0.000","","P=0.000"
"estimates","State EITC is refundable","estimate","","0.0001","","-0.0067","","-0.0035","","-0.0149","","-0.0103","","0.0028"
"estimates","State EITC is refundable","(({std.error}))","","((0.0092))","","((0.0095))","","((0.0093))","","((0.0062))","","((0.0052))","","((0.0089))"
"estimates","State EITC is refundable","P={p.value}","","P=0.994","","P=0.483","","P=0.708","","P=0.022","","P=0.054","","P=0.752"
"estimates","Maximum TANF benefit for family of 3","estimate","","0.0001","","0.0001","","0.0000","","-0.0001","","0.0000","","-0.0001"
"estimates","Maximum TANF benefit for family of 3","(({std.error}))","","((0.0001))","","((0.0000))","","((0.0000))","","((0.0001))","","((0.0001))","","((0.0001))"
"estimates","Maximum TANF benefit for family of 3","P={p.value}","","P=0.233","","P=0.070","","P=0.759","","P=0.220","","P=0.649","","P=0.218"
"gof","Num.Obs.","","1218309","1218309","1129583","1129583","922636","922636","1149833","1149833","1206459","1206459","965173","965173"
"gof","R2","","0.009","0.043","0.006","0.021","0.005","0.015","0.051","0.063","0.018","0.022","0.017","0.056"
"gof","R2 Adj.","","0.009","0.043","0.006","0.021","0.005","0.014","0.051","0.063","0.018","0.022","0.017","0.056"
